fpr,tpr
0.0,0.0
0.08181818181818182,0.27
0.21818181818181817,0.56
0.21818181818181817,0.58
0.22727272727272727,0.61
0.23636363636363636,0.61
0.23636363636363636,0.62
0.24545454545454545,0.62
0.2636363636363636,0.63
0.2636363636363636,0.66
0.3,0.69
0.37272727272727274,0.73
0.39090909090909093,0.76
0.4090909090909091,0.76
0.5181818181818182,0.86
0.5272727272727272,0.87
0.5636363636363636,0.87
0.5727272727272728,0.87
0.5727272727272728,0.88
0.6636363636363637,0.92
0.6727272727272727,0.92
0.6727272727272727,0.94
0.7,0.95
0.7181818181818181,0.95
0.7545454545454545,0.96
0.7818181818181819,0.96
0.8454545454545455,0.96
1.0,1.0
