fpr,tpr
0.0,0.0
0.0,0.01
0.0,0.02
0.00909090909090909,0.02
0.00909090909090909,0.05
0.01818181818181818,0.05
0.01818181818181818,0.06
0.02727272727272727,0.06
0.02727272727272727,0.08
0.03636363636363636,0.08
0.03636363636363636,0.1
0.045454545454545456,0.1
0.045454545454545456,0.18
0.05454545454545454,0.18
0.05454545454545454,0.25
0.06363636363636363,0.25
0.06363636363636363,0.27
0.08181818181818182,0.27
0.08181818181818182,0.29
0.09090909090909091,0.29
0.09090909090909091,0.42
0.12727272727272726,0.42
0.12727272727272726,0.43
0.13636363636363635,0.43
0.13636363636363635,0.52
0.14545454545454545,0.52
0.14545454545454545,0.53
0.15454545454545454,0.53
0.15454545454545454,0.57
0.17272727272727273,0.57
0.17272727272727273,0.59
0.19090909090909092,0.59
0.19090909090909092,0.62
0.2,0.62
0.2,0.65
0.20909090909090908,0.65
0.20909090909090908,0.68
0.21818181818181817,0.68
0.21818181818181817,0.69
0.22727272727272727,0.69
0.22727272727272727,0.7
0.23636363636363636,0.7
0.23636363636363636,0.73
0.24545454545454545,0.73
0.24545454545454545,0.76
0.2545454545454545,0.76
0.2545454545454545,0.77
0.2727272727272727,0.77
0.2727272727272727,0.78
0.2818181818181818,0.78
0.2818181818181818,0.79
0.3090909090909091,0.79
0.3090909090909091,0.8
0.3181818181818182,0.8
0.3181818181818182,0.81
0.35454545454545455,0.81
0.35454545454545455,0.82
0.36363636363636365,0.82
0.36363636363636365,0.83
0.37272727272727274,0.83
0.37272727272727274,0.85
0.41818181818181815,0.85
0.41818181818181815,0.86
0.43636363636363634,0.86
0.43636363636363634,0.87
0.4727272727272727,0.87
0.4727272727272727,0.88
0.4909090909090909,0.88
0.4909090909090909,0.89
0.509090909090909,0.89
0.509090909090909,0.9
0.5363636363636364,0.9
0.5363636363636364,0.91
0.5454545454545454,0.91
0.5454545454545454,0.94
0.6181818181818182,0.94
0.6181818181818182,0.96
0.7181818181818181,0.96
0.7181818181818181,0.97
0.7363636363636363,0.97
0.7363636363636363,0.98
0.7454545454545455,0.98
0.7454545454545455,1.0
1.0,1.0
