fpr,tpr
0.0,0.0
0.00909090909090909,0.05
0.01818181818181818,0.05
0.01818181818181818,0.06
0.02727272727272727,0.11
0.02727272727272727,0.17
0.02727272727272727,0.21
0.03636363636363636,0.23
0.045454545454545456,0.23
0.045454545454545456,0.25
0.06363636363636363,0.25
0.06363636363636363,0.27
0.07272727272727272,0.27
0.07272727272727272,0.31
0.08181818181818182,0.32
0.08181818181818182,0.35
0.1,0.35
0.1,0.36
0.10909090909090909,0.36
0.10909090909090909,0.41
0.11818181818181818,0.41
0.11818181818181818,0.42
0.12727272727272726,0.42
0.12727272727272726,0.43
0.14545454545454545,0.43
0.14545454545454545,0.45
0.16363636363636364,0.45
0.17272727272727273,0.47
0.18181818181818182,0.47
0.18181818181818182,0.53
0.20909090909090908,0.53
0.20909090909090908,0.56
0.22727272727272727,0.56
0.22727272727272727,0.58
0.23636363636363636,0.58
0.23636363636363636,0.59
0.24545454545454545,0.59
0.24545454545454545,0.64
0.2545454545454545,0.64
0.2545454545454545,0.69
0.2636363636363636,0.69
0.2636363636363636,0.7
0.2727272727272727,0.7
0.2727272727272727,0.74
0.2909090909090909,0.74
0.2909090909090909,0.78
0.3,0.78
0.3,0.79
0.32727272727272727,0.79
0.32727272727272727,0.81
0.33636363636363636,0.81
0.33636363636363636,0.82
0.34545454545454546,0.82
0.34545454545454546,0.83
0.42727272727272725,0.83
0.44545454545454544,0.83
0.4636363636363636,0.83
0.4636363636363636,0.85
0.4818181818181818,0.85
0.4818181818181818,0.86
0.5,0.86
0.5,0.87
0.5272727272727272,0.87
0.5272727272727272,0.88
0.5363636363636364,0.88
0.5363636363636364,0.9
0.5545454545454546,0.9
0.5545454545454546,0.91
0.5909090909090909,0.91
0.5909090909090909,0.92
0.6363636363636364,0.92
0.6363636363636364,0.93
0.6454545454545455,0.93
0.6454545454545455,0.94
0.6545454545454545,0.94
0.6545454545454545,0.95
0.7363636363636363,0.95
0.7363636363636363,0.96
0.8272727272727273,0.96
0.8272727272727273,0.97
0.8454545454545455,0.97
0.8454545454545455,0.98
0.8636363636363636,0.98
0.8636363636363636,0.99
0.9181818181818182,0.99
0.9181818181818182,1.0
0.9636363636363636,1.0
0.9818181818181818,1.0
1.0,1.0
