data_type,algo,seed,train.val,auc
CLN_MET,avg,2,1,0.723993271221532
CLN_PRT,svc,2,0,0.7637272727272727
CLN_PRT,xgb,2,0,0.7418181818181819
CLN_PRT,lr,2,0,0.729
CLN_PRT,avg,2,0,0.7784545454545455
CLN_PRT,svc,2,1,0.7075310559006212
CLN_PRT,xgb,2,1,0.7844824016563147
CLN_PRT,lr,2,1,0.744702380952381
CLN_PRT,avg,2,1,0.7849171842650103
CLN_MIR,svc,2,0,0.7446363636363637
CLN_MIR,xgb,2,0,0.7533181818181819
CLN_MIR,lr,2,0,0.7424545454545455
CLN_MIR,avg,2,0,0.7589090909090909
CLN_MTB_PRT,svc,2,1,0.7513755175983436
CLN_MTB_PRT,xgb,2,1,0.7890929089026915
CLN_MTB_PRT,lr,2,1,0.7651061076604555
CLN_MTB_PRT,avg,2,1,0.7676009316770187
MIR,svc,2,0,0.6290000000000001
MIR,xgb,2,0,0.6316363636363636
MIR,lr,2,0,0.6324545454545454
MIR,avg,2,0,0.6453636363636364
CLN_MTB,svc,2,1,0.7714673913043479
CLN_MTB,xgb,2,1,0.7847179089026914
CLN_MTB,lr,2,1,0.7694151138716355
CLN_MTB,avg,2,1,0.7786697722567288
CLN_MIR_MET,svc,2,0,0.7551818181818182
CLN_MIR_MET,xgb,2,0,0.7567272727272727
CLN_MIR_MET,lr,2,0,0.7406363636363635
CLN_MIR_MET,avg,2,0,0.7632727272727273
CLN_MTB_MIR,svc,2,1,0.7493335921325053
CLN_MTB_MIR,xgb,2,1,0.7792365424430642
CLN_MTB_MIR,lr,2,1,0.7913405797101449
CLN_MTB_MIR,avg,2,1,0.7930615942028986
CLN_PRT_MET,svc,2,0,0.7686363636363637
CLN_PRT_MET,xgb,2,0,0.7545909090909091
CLN_PRT_MET,lr,2,0,0.729
CLN_PRT_MET,avg,2,0,0.7933636363636364
CLN_MIR_MET,svc,2,1,0.6896700310559006
CLN_MIR_MET,xgb,2,1,0.7690916149068323
CLN_MIR_MET,lr,2,1,0.757518115942029
CLN_MIR_MET,avg,2,1,0.7539104554865425
CLN_MTB_PRT,svc,2,0,0.7966363636363636
CLN_MTB_PRT,xgb,2,0,0.7524545454545454
CLN_MTB_PRT,lr,2,0,0.7457272727272728
CLN_MTB_PRT,avg,2,0,0.802909090909091
CLN_MTB_PRT_MET,svc,2,1,0.7255201863354037
CLN_MTB_PRT_MET,xgb,2,1,0.7768090062111801
CLN_MTB_PRT_MET,lr,2,1,0.7651061076604555
CLN_MTB_PRT_MET,avg,2,1,0.7539001035196687
CLN_MTB_MET,svc,2,0,0.7930909090909091
CLN_MTB_MET,xgb,2,0,0.7605
CLN_MTB_MET,lr,2,0,0.7457272727272728
CLN_MTB_MET,avg,2,0,0.7982727272727272
CLN_MTB_MET,svc,2,1,0.7501397515527951
CLN_MTB_MET,xgb,2,1,0.7826177536231885
CLN_MTB_MET,lr,2,1,0.7651061076604555
CLN_MTB_MET,avg,2,1,0.7651423395445134
MET,svc,2,0,0.4829090909090909
MET,xgb,2,0,0.5361363636363636
MET,lr,2,0,0.5
MET,avg,2,0,0.5372727272727272
CLN,svc,2,1,0.7622360248447204
CLN,xgb,2,1,0.7661762422360248
CLN,lr,2,1,0.7518944099378881
CLN,avg,2,1,0.7585222567287786
CLN_PRT_MIR_MET,svc,2,0,0.7727272727272727
CLN_PRT_MIR_MET,xgb,2,0,0.7545909090909091
