fpr,tpr
0.0,0.0
0.0,0.03
0.0,0.05
0.00909090909090909,0.07
0.00909090909090909,0.11
0.00909090909090909,0.14
0.00909090909090909,0.16
0.00909090909090909,0.17
0.01818181818181818,0.17
0.01818181818181818,0.2
0.01818181818181818,0.22
0.01818181818181818,0.23
0.02727272727272727,0.24
0.02727272727272727,0.26
0.05454545454545454,0.26
0.05454545454545454,0.27
0.06363636363636363,0.29
0.06363636363636363,0.3
0.07272727272727272,0.3
0.07272727272727272,0.31
0.08181818181818182,0.31
0.08181818181818182,0.35
0.09090909090909091,0.36
0.10909090909090909,0.36
0.10909090909090909,0.4
0.12727272727272726,0.4
0.12727272727272726,0.41
0.13636363636363635,0.41
0.13636363636363635,0.42
0.14545454545454545,0.42
0.14545454545454545,0.44
0.15454545454545454,0.44
0.15454545454545454,0.47
0.16363636363636364,0.48
0.16363636363636364,0.52
0.17272727272727273,0.52
0.17272727272727273,0.58
0.2,0.58
0.2,0.59
0.20909090909090908,0.59
0.20909090909090908,0.67
0.22727272727272727,0.67
0.23636363636363636,0.67
0.23636363636363636,0.71
0.2636363636363636,0.71
0.2636363636363636,0.72
0.2818181818181818,0.72
0.2818181818181818,0.73
0.3,0.73
0.3,0.74
0.32727272727272727,0.74
0.32727272727272727,0.75
0.35454545454545455,0.75
0.35454545454545455,0.77
0.36363636363636365,0.77
0.36363636363636365,0.78
0.39090909090909093,0.78
0.39090909090909093,0.81
0.45454545454545453,0.81
0.45454545454545453,0.83
0.45454545454545453,0.84
0.4636363636363636,0.84
0.4636363636363636,0.85
0.4909090909090909,0.85
0.4909090909090909,0.86
0.5,0.86
0.5,0.87
0.5363636363636364,0.87
0.5363636363636364,0.88
0.5545454545454546,0.88
0.5545454545454546,0.89
0.5636363636363636,0.89
0.5818181818181818,0.89
0.5818181818181818,0.9
0.6545454545454545,0.9
0.6545454545454545,0.91
0.6636363636363637,0.91
0.6818181818181818,0.91
0.6909090909090909,0.91
0.6909090909090909,0.92
0.7,0.92
0.7181818181818181,0.92
0.7181818181818181,0.93
0.7272727272727273,0.93
0.7272727272727273,0.95
0.7545454545454545,0.95
0.7727272727272727,0.95
0.8090909090909091,0.95
0.8090909090909091,0.96
0.8181818181818182,0.96
0.8454545454545455,0.98
0.8454545454545455,0.99
0.8727272727272727,0.99
0.8909090909090909,0.99
0.9272727272727272,0.99
0.9727272727272728,0.99
0.9818181818181818,0.99
0.990909090909091,1.0
1.0,1.0
