fpr,tpr
0.0,0.0
0.0,0.01
0.01818181818181818,0.01
0.01818181818181818,0.06
0.02727272727272727,0.06
0.02727272727272727,0.18
0.03636363636363636,0.18
0.03636363636363636,0.2
0.045454545454545456,0.2
0.045454545454545456,0.21
0.05454545454545454,0.21
0.05454545454545454,0.23
0.06363636363636363,0.23
0.06363636363636363,0.3
0.07272727272727272,0.3
0.07272727272727272,0.32
0.09090909090909091,0.32
0.09090909090909091,0.39
0.1,0.39
0.1,0.4
0.10909090909090909,0.4
0.10909090909090909,0.43
0.12727272727272726,0.43
0.12727272727272726,0.44
0.13636363636363635,0.44
0.13636363636363635,0.46
0.14545454545454545,0.46
0.14545454545454545,0.49
0.16363636363636364,0.49
0.16363636363636364,0.52
0.17272727272727273,0.52
0.17272727272727273,0.55
0.19090909090909092,0.55
0.19090909090909092,0.59
0.2,0.59
0.2,0.6
0.20909090909090908,0.6
0.20909090909090908,0.68
0.21818181818181817,0.68
0.21818181818181817,0.7
0.22727272727272727,0.7
0.22727272727272727,0.71
0.23636363636363636,0.71
0.23636363636363636,0.73
0.2636363636363636,0.73
0.2636363636363636,0.77
0.3,0.77
0.3,0.79
0.3090909090909091,0.79
0.3090909090909091,0.8
0.3181818181818182,0.8
0.3181818181818182,0.82
0.35454545454545455,0.83
0.35454545454545455,0.84
0.38181818181818183,0.84
0.38181818181818183,0.86
0.41818181818181815,0.86
0.41818181818181815,0.87
0.42727272727272725,0.87
0.42727272727272725,0.88
0.44545454545454544,0.88
0.44545454545454544,0.9
0.4727272727272727,0.9
0.4727272727272727,0.91
0.5727272727272728,0.91
0.5727272727272728,0.92
0.6,0.92
0.6,0.94
0.7090909090909091,0.94
0.7090909090909091,0.95
0.7181818181818181,0.95
0.7181818181818181,0.96
0.7454545454545455,0.96
0.7454545454545455,0.97
0.7636363636363637,0.97
0.7636363636363637,0.99
0.7909090909090909,0.99
0.7909090909090909,1.0
1.0,1.0
