fpr,tpr
0.0,0.0
0.045454545454545456,0.18
0.12727272727272726,0.42
0.13636363636363635,0.47
0.14545454545454545,0.49
0.15454545454545454,0.53
0.16363636363636364,0.54
0.16363636363636364,0.57
0.17272727272727273,0.58
0.19090909090909092,0.58
0.20909090909090908,0.58
0.20909090909090908,0.61
0.22727272727272727,0.64
0.23636363636363636,0.64
0.2727272727272727,0.71
0.2909090909090909,0.73
0.3090909090909091,0.75
0.3181818181818182,0.75
0.32727272727272727,0.77
0.34545454545454546,0.77
0.37272727272727274,0.77
0.38181818181818183,0.77
0.38181818181818183,0.78
0.4,0.78
0.4,0.8
0.4,0.81
0.43636363636363634,0.81
0.45454545454545453,0.84
0.4636363636363636,0.84
0.4636363636363636,0.85
0.4727272727272727,0.85
0.4909090909090909,0.85
0.5272727272727272,0.85
0.5363636363636364,0.85
0.6636363636363637,0.92
0.7,0.92
0.7090909090909091,0.93
0.7272727272727273,0.93
0.7363636363636363,0.93
0.7363636363636363,0.94
0.8090909090909091,0.95
1.0,1.0
