MP0005	MP0006	MP0009	MP0012	MP0013	MP0015	MP0017	MP0018	MP0019	MP0021	MP0022	MP0023	MP0024	MP0025	MP0027	MP0030	MP0033	MP0034	MP0035	MP0038	MP0041	MP0042	MP0044	MP0045	MP0046	MP0047	MP0050	MP0051	MP0052	MP0053	MP0054	MP0058	MP0062	MP0065	MP0066	MP0073	MP0074	MP0076	MP0077	MP0078	MP0080	MP0082	MP0084	MP0085	MP0086	MP0096	MP0098	MP0099	MP0100	MP0101	MP0105	MP0106	MP0112	MP0113	MP0115	MP0116	MP0117	MP0118	MP0122	MP0124	MP0126	MP0127	MP0128	MP0132	MP0134	MP0135	MP0140	MP0141	MP0142	MP0150	MP0151	MP0154	MP0156	MP0159	MP0164	MP0174	MP0175	MP0193	MP0203	ML006	ML017	ML018	ML010	ML011	ML012	ML013	ML014	ML015	ML016	ML019	MS003	MS018	MS020	MS022	MS025	MS030	MS001	MS002	MS004	MS005	MS006	MS007	MS008	MS009	MS010	MS011	MS013	MS014	MS015	MS016	MS017	MS019	MS021	MS023	MS024	MS026	MS027	MS028	MS029
0.0	-0.0	0.19396895843023448	-0.0	0.03923971752577937	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0023669721135378	0.0	-0.0	0.0	0.07455863817485917	-0.011177001412314778	0.0	0.0	0.0	0.0	-0.0030735224907955773	-0.2388586216683615	-0.0	-0.0	0.021980582377461703	-0.09249385281024468	-0.0	0.019544377029937807	0.0	-0.0	0.0	0.00943276680596649	0.0	0.0	-0.000829661129412645	0.0	0.07480397562280425	0.0	0.03857550405406739	0.012386591602847665	-0.0	-0.0	-0.1421187706945337	0.0	0.0	-0.005728875855963743	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.15495985635387036	0.6375547181747957	-0.0	0.0	-0.0011411568878159726	-0.0	-0.13722353842417906	1.2824789373138816e-05	0.0	-0.3836204717133349	0.02811509752168672	-0.0	-0.0	-0.25056077759556705	-0.02083903619979434	0.12529995415895406	-0.0	-0.06094464474160382	-0.0	-0.1864738350073275	0.0	0.0	0.4698103126628265	0.00793458275767095	-0.1811549290034151	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.024953327038545237	-0.0	-0.0	-0.06317532751466383	-0.0	0.5272455878727337	-0.0	-0.0	0.0013606988776482935	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0
-0.0	0.0	0.12587643500727969	-0.0	0.09146230163316867	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.026018058419499345	-0.0	0.0	-0.0	-0.010410982461198887	-0.007660341616529323	-0.0	-0.0	0.0	0.0	0.07414804342218649	0.005765979264932952	0.0	0.0	0.01594666720073536	0.23526610107458135	-0.0	-0.24463492348667157	-0.0	-0.0	0.0	-0.05470620979513048	0.0	0.0	-0.000600145188205705	0.0	0.2160977520355072	0.0	-0.0394147849363169	0.16785114106179194	-0.0	-0.0	-0.15963566841560883	0.0	0.0	-0.01393802071285691	-0.0	0.0	-0.0	0.0	0.0	0.0	0.09952961205058419	-0.10103918034113793	0.0	0.0	-0.0007580088876252033	-0.0	0.07181028185438268	-0.09491279501278342	0.0	0.21155600563994315	0.03379860946352249	0.0	-0.0	-0.1167567497268157	0.028164614335117008	0.22298251105758501	0.0	0.1564952708276373	-0.0	0.07822924914682793	-0.0	0.0	0.020840950265128645	0.02982845251739177	0.30728021196112343	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.05171263053039566	0.0	0.0	0.05536270278540256	-0.0	0.9814163943478467	-0.0	0.0	-0.011340813252540148	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0
-0.0	-0.0	-0.22246315087094326	-0.0	0.08967434257971245	0.0	0.0	0.0	-0.0	-0.0	0.0	0.034979580210214176	0.0	0.0	0.0	0.008706657983797397	-0.039540500064681336	0.0	0.0	0.0	0.0	-0.002817127411593156	-0.0982447335751718	0.0	0.0	0.0072979400299420525	0.3374944426340772	-0.0	0.07712421148582192	-0.0	-0.0	-0.0	0.07783234405446215	0.0	0.0	-0.0003309786148882089	0.0	0.11119653767513309	-0.0	0.08604911419839938	0.16755423872513656	0.0	0.0	-0.23690671299406568	0.0	0.0	-0.01310788530207181	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.2824828237149912	-0.043827231216844266	0.0	0.0	-0.0027410563563950037	0.0	-0.11330529153612355	-0.0933378845987825	-0.0	0.5573330454858868	-0.02217101000770855	0.0	0.0	0.257383793786082	0.06287562390896208	-0.007761237250255394	0.0	-0.21335799387982413	0.0	-0.04616273551371861	0.0	0.0	-0.4656036113547333	-0.010271039020201898	-0.20954330677557878	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.05530942656820797	-0.0	0.0	0.176217511155946	0.0	-2.1726285276287745	0.0	0.0	0.0019347416954297084	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.19421262952321308	0.0	-0.0017267200105993558	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0006884877028283631	0.0	0.0	0.0	-0.010810463164242156	-0.017000677832566046	0.0	-0.0	-0.0	0.0	0.005631074200011326	-0.3388977351486699	0.0	-0.0	0.018882017865022627	0.017880411206441744	-0.0	0.1899119235137926	0.0	0.0	0.0	-0.07327520902823208	0.0	0.0	-0.00026935358224272095	0.0	0.1521939789932172	-0.0	-0.01458807694032549	0.14722789329838337	0.0	0.0	0.005629176611703469	0.0	0.0	-0.0013816833756709595	0.0	-0.0	0.0	0.0	0.0	0.0	-0.03197698004175843	-0.10761207979257895	0.0	0.0	0.0003903327905639003	0.0	0.3117125145988841	-0.06177909443066287	-0.0	0.22418445809483192	0.02891782545490602	0.0	0.0	-0.06512589927893175	0.024344745609181262	0.11284700763233584	-0.0	0.0033092334984385174	0.0	0.13221726174025847	-0.0	0.0	-0.04987193659058318	0.022925252029200347	-0.09791138511032023	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.03298922606796403	-0.0	-0.0	0.14507801070799645	-0.0	0.72699212148813	-0.0	-0.0	-0.015572334834682653	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0
-0.0	-0.0	0.18392102179775327	-0.0	-0.04009794856649693	0.0	0.0	0.0	-0.0	0.0	0.0	0.011024340681364417	0.0	0.0	0.0	-0.025216072188257218	-0.017680390005283157	-0.0	0.0	0.0	-0.0	0.02097161598430201	-0.22203639689822346	0.0	-0.0	-0.018041529326783916	-0.09324228165299624	-0.0	0.18056110675221224	0.0	0.0	0.0	-0.19427115543769305	-0.0	-0.0	-0.0007816879977196098	0.0	0.030844658061954563	0.0	-0.05811921523867236	0.07717078124879179	0.0	-0.0	-0.180795608169281	0.0	0.0	-0.0029513683256990877	0.0	0.0	-0.0	0.0	0.0	0.0	-0.08944358611652442	-0.05275678920473439	0.0	0.0	-0.00021282469362453795	0.0	0.03943731996753463	-0.05294419404678245	-0.0	-0.2568103006076544	-0.031577536408149205	-0.0	0.0	0.1147373976401559	-0.06968243622777447	0.08149099162642502	-0.0	-0.017201921916150737	-0.0	0.05070030954949689	0.0	-0.0	0.07558864822289957	-0.018091755586067765	-0.10798072797789567	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.019022053280472344	-0.0	0.0	0.14319722766809903	-0.0	0.14102311308785076	-0.0	-0.0	0.0014775930818032598	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0
0.0	0.0	-0.15247150046947414	0.0	0.15655322621384252	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.16948586174828686	0.0	0.0	0.0	0.0526492477219353	0.107400280824714	0.0	-0.0	-0.0	-0.0	0.01202477528773127	-0.022125552607832354	-0.0	-0.0	-0.04124556777380488	-0.35755781940489734	0.0	0.2607587935246443	0.0	0.0	0.0	0.15424419681948018	0.0	0.0	0.0001533451111821387	-0.0	-0.097069199502155	-0.0	-0.017004360069063928	-0.2194059322641004	-0.0	-0.0	0.5662820031626128	-0.0	-0.0	0.007974519833790158	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.25415425488744664	-0.3967265317367146	0.0	-0.0	0.0034349795035927984	0.0	0.24525636961163497	0.13003477599871288	-0.0	-0.5130029564651799	0.010164722816352499	-0.0	-0.0	-0.03764060861084582	0.09884853670732496	0.05455350008801959	-0.0	0.06388101436299795	0.0	-0.029720026689931716	-0.0	-0.0	0.4004837375136087	0.06823638481260454	-0.16972524786830856	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.03725135178467337	-0.0	-0.0	-0.09339022626639665	0.0	-0.4838868431329472	0.0	-0.0	0.016528495806553616	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0
-0.0	-0.0	0.3564389746534225	-0.0	0.07282498805127938	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.1340041673019324	-0.0	-0.0	-0.0	-0.07277026858925721	0.040390373512644476	-0.0	-0.0	0.0	-0.0	0.011510885607078239	-0.01964871368359215	-0.0	0.0	0.04285013647477672	-0.19052624403063492	-0.0	-0.2145302293846629	-0.0	-0.0	-0.0	0.10539258902409034	0.0	0.0	0.0002279564186830475	-0.0	-0.46539548157176913	-0.0	-0.03339507272428264	-0.13639945941344184	-0.0	-0.0	0.28478794945792596	-0.0	-0.0	0.012879640135260155	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.05359886906344754	0.833591711296497	-0.0	-0.0	0.0014298015212250222	-0.0	-0.16536511140235446	0.10089861062619596	-0.0	-0.5302593261680867	0.03229309906022745	-0.0	-0.0	-0.0072693787883905455	0.06143688475420146	-0.0065483114758808055	-0.0	-0.15861457391438374	-0.0	0.040147978089296654	-0.0	-0.0	0.1543665525884057	0.0013240453776383835	-0.5963429322020894	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.04196163821890923	-0.0	-0.0	-0.06076923292760878	-0.0	0.23283361896633223	-0.0	-0.0	0.013544347599678543	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
0.0	0.0	-0.15025403312209193	0.0	-0.010737046511435172	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.020536025575960126	-0.0	0.0	0.0	-0.17837028474707622	-0.0005209786388635977	0.0	-0.0	0.0	-0.0	-0.012272344410094003	0.08090608738960382	-0.0	0.0	-0.0043970931711849025	-0.06059987498620459	0.0	0.23945728034524452	0.0	0.0	-0.0	0.037474016407357494	0.0	0.0	-1.7502007419790554e-05	-0.0	-0.14712150895064588	-0.0	-0.046471856172201564	-0.23207297620688097	-0.0	0.0	-0.09943905578561772	-0.0	0.0	-0.003752990927810575	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.09879639601440046	-0.22450717394996297	0.0	-0.0	0.003048266154150675	-0.0	0.10885420354647145	0.0027569701930034145	0.0	-0.3316558197626612	-0.007229347109333061	-0.0	-0.0	-0.02316793791448932	0.14494680691741216	0.3729746608519573	0.0	-0.0566395450961536	0.0	0.012887234999281004	0.0	-0.0	0.45148180657354664	-0.03385582484372058	0.19055178207881968	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.042244012073159184	-0.0	-0.0	-0.23739140939475126	-0.0	0.027201236809611777	-0.0	-0.0	0.0069643241726977155	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
-0.0	-0.0	0.707128772375059	-0.0	0.41138431410742476	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.19329461273346257	-0.0	-0.0	-0.0	-0.08228767744222257	0.06732407473606326	-0.0	-0.0	-0.0	0.0	0.002877132057452116	-0.10595374989362993	0.0	-0.0	0.05996494190097998	-0.3709183453714952	-0.0	-0.2513670247859689	-0.0	-0.0	-0.0	0.17086168575604166	-0.0	-0.0	-0.0002659062808445729	-0.0	-0.9200192259658501	-0.0	-0.0015993643104610215	-0.4691332233395309	-0.0	-0.0	0.2514949147793382	-0.0	-0.0	0.003108477228950819	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.17435996154403977	1.1638638140371762	-0.0	-0.0	0.0029940421223329282	-0.0	-0.5733921326125258	0.08771659922438987	-0.0	-0.5859164147063143	0.033669571185337546	-0.0	-0.0	-0.03889004053956591	-0.032501312420483375	-0.03061205382722834	0.0	0.011366085387604877	-0.0	-0.006114387379394306	-0.0	0.0	0.39719365225486153	0.03329449017604982	-0.29658919210305257	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.031204658520467315	-0.0	-0.0	-0.0630026670884519	-0.0	-0.795104432272203	-0.0	0.0	-0.00733040811374699	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
0.0	0.0	0.06261614286970871	0.0	-0.009326422947060474	-0.0	0.0	0.0	0.0	0.0	0.0	0.0032989785890011358	-0.0	0.0	0.0	0.035202732652015796	-0.003940585956382593	0.0	0.0	-0.0	0.0	-0.011668797833103331	0.03850385706491464	-0.0	0.0	-0.051664163411088065	-0.080154397194171	0.0	0.42535620730395163	0.0	0.0	0.0	-0.042900782658092766	0.0	-0.0	-0.0008133075905472031	0.0	0.08144894937729702	-0.0	0.0046989285269362	0.1103826511013015	-0.0	0.0	0.05203514503326735	-0.0	0.0	-0.0019332973274941187	0.0	0.0	0.0	0.0	0.0	0.0	-0.09739771375888873	-0.4081594714818486	0.0	-0.0	-0.0016567859490392671	0.0	0.1886348200839189	-0.07698388214464671	0.0	-0.08496634921056664	0.018572828266361488	0.0	-0.0	0.07149140677914177	0.03971644495129226	-0.4792696821381568	-0.0	-0.03935346629144016	0.0	0.05814190879038339	-0.0	0.0	0.0006886386650837979	-0.007285136779286466	0.47049808235756213	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.030754459239480364	0.0	-0.0	0.06246908427150602	-0.0	0.5017592266594451	-0.0	-0.0	0.002917470337926612	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0
