feature_name	feature_importance
exRNA000673	0.16624080312321873
exRNA000005	0.09703775957529759
exRNA000003	0.0798814814328327
exRNA000145	0.0691884123025265
exRNA000067	0.06826206836358441
exRNA000165	0.0655637466314357
exRNA000061	0.05639816826458146
exRNA000017	0.05600806200924338
exRNA000091	0.05225717339429634
exRNA000044	0.03251078919213142
exRNA000211	0.030933972937233642
exRNA000027	0.029640737142498347
exRNA000077	0.020516440383140665
exRNA000130	0.019417013207494293
exRNA000047	0.01632605712730366
exRNA000183	0.013966182651124029
exRNA000394	0.012135266924276869
exRNA000760	0.008642716566627814
exRNA000348	0.008059658838564833
exRNA000841	0.007782315078077781
exRNA000251	0.0028099491725599077
exRNA000290	1.2271583463353012e-05
exRNA000097	9.750658176577147e-06
exRNA000056	7.452573154694762e-06
exRNA000565	7.116349220332027e-06
exRNA000161	7.107382475193157e-06
exRNA000066	6.896593985793439e-06
exRNA000344	6.195643316127098e-06
exRNA000250	5.792740348859049e-06
exRNA000040	5.584549548780016e-06
exRNA000311	4.885372682296684e-06
exRNA000317	4.683566552517705e-06
exRNA000408	4.192809796451923e-06
exRNA000084	3.804165695653614e-06
exRNA000015	3.7781799495499943e-06
exRNA000004	3.7530502803349217e-06
exRNA000059	3.7123809288085947e-06
exRNA000060	3.393018001160577e-06
exRNA000042	3.3379758282433297e-06
exRNA000035	3.217521289585379e-06
exRNA000089	3.1539445556397364e-06
exRNA000016	3.040943837484604e-06
exRNA000043	3.028327340872904e-06
exRNA000029	2.9868866752268784e-06
exRNA000050	2.7626263409016728e-06
exRNA000173	2.6787851166853897e-06
exRNA000561	2.673417536068716e-06
exRNA000172	2.6384254976344015e-06
exRNA000226	2.4799554322821667e-06
exRNA000053	2.380060451547032e-06
exRNA000036	2.093604179992169e-06
exRNA000110	1.6517219492331101e-06
exRNA000058	1.4570207802849836e-06
exRNA000098	1.3960077407881374e-06
exRNA000028	1.3625267388430776e-06
exRNA000326	1.1756601192437103e-06
exRNA000164	1.1623932119367686e-06
exRNA000312	3.5331178058041993e-07
exRNA000822	3.323387511913898e-07
exRNA000139	2.74578355822786e-07
exRNA000009	2.8517501760032672e-08
exRNA000008	2.6634598393454024e-08
