fpr,tpr
0.0,0.0
0.0,0.01
0.0,0.06
0.00909090909090909,0.06
0.00909090909090909,0.09
0.01818181818181818,0.09
0.01818181818181818,0.15
0.02727272727272727,0.15
0.02727272727272727,0.21
0.03636363636363636,0.21
0.03636363636363636,0.22
0.045454545454545456,0.22
0.045454545454545456,0.23
0.05454545454545454,0.23
0.05454545454545454,0.24
0.06363636363636363,0.24
0.06363636363636363,0.27
0.07272727272727272,0.27
0.07272727272727272,0.35
0.09090909090909091,0.35
0.09090909090909091,0.48
0.1,0.48
0.1,0.49
0.11818181818181818,0.49
0.11818181818181818,0.52
0.14545454545454545,0.52
0.14545454545454545,0.53
0.16363636363636364,0.53
0.16363636363636364,0.54
0.17272727272727273,0.54
0.17272727272727273,0.63
0.18181818181818182,0.63
0.18181818181818182,0.65
0.19090909090909092,0.65
0.19090909090909092,0.7
0.23636363636363636,0.7
0.23636363636363636,0.71
0.2636363636363636,0.71
0.2636363636363636,0.75
0.2727272727272727,0.75
0.2727272727272727,0.76
0.2818181818181818,0.76
0.2818181818181818,0.77
0.3,0.77
0.3,0.79
0.3090909090909091,0.79
0.3090909090909091,0.8
0.3181818181818182,0.8
0.3181818181818182,0.81
0.32727272727272727,0.81
0.32727272727272727,0.82
0.35454545454545455,0.82
0.35454545454545455,0.83
0.39090909090909093,0.83
0.39090909090909093,0.84
0.4,0.84
0.4,0.85
0.4090909090909091,0.85
0.4090909090909091,0.86
0.44545454545454544,0.86
0.44545454545454544,0.89
0.4636363636363636,0.89
0.4636363636363636,0.91
0.4818181818181818,0.91
0.4818181818181818,0.92
0.509090909090909,0.92
0.509090909090909,0.93
0.6272727272727273,0.93
0.6272727272727273,0.94
0.6454545454545455,0.94
0.6454545454545455,0.95
0.6727272727272727,0.95
0.6727272727272727,0.96
0.8,0.96
0.8,0.97
0.8181818181818182,0.97
0.8181818181818182,0.98
0.8636363636363636,0.98
0.8636363636363636,0.99
0.9454545454545454,0.99
0.9454545454545454,1.0
1.0,1.0
