feature_name	feature_importance
exRNA000673	0.2929699209563393
exRNA000165	0.1672496879149875
exRNA000017	0.15468569560645024
exRNA000067	0.1477521323533854
exRNA000005	0.1351887546201424
exRNA000003	0.13456880459730466
exRNA000061	0.12116057959203559
exRNA000027	0.11607720469900694
exRNA000211	0.11234718753737849
exRNA000145	0.11049987387298264
exRNA000077	0.07539842333083835
exRNA000098	0.07498540420449275
exRNA000130	0.07009383180191105
exRNA000044	0.0695090916725222
exRNA000004	0.06021047570124597
exRNA000091	0.058944994590187275
exRNA000183	0.05805559631068973
exRNA000348	0.05791318131378428
exRNA000047	0.05621268158784548
exRNA000226	0.04997197172819588
exRNA000008	0.041600066071592744
exRNA000394	0.04147878880690808
exRNA000053	0.04059634886095146
exRNA000009	0.03874196013735485
exRNA000326	0.03524913763985888
exRNA000110	0.0339303784120312
exRNA000040	0.03189441875047951
exRNA000015	0.026709076969577594
exRNA000029	0.02611431277380869
exRNA000060	0.026002245194484602
exRNA000059	0.024139780874891048
exRNA000161	0.023757580515571513
exRNA000344	0.02221528173986767
exRNA000760	0.020907619800995467
exRNA000290	0.01752863037700743
exRNA000822	0.017376050389558362
exRNA000841	0.014270386037763367
exRNA000250	0.014061431480528299
exRNA000565	0.011586336862828802
exRNA000312	0.011226886706258621
exRNA000164	0.010198311933548627
exRNA000058	0.00966033033590466
exRNA000317	0.009510379532877427
exRNA000084	0.00783798860432578
exRNA000251	0.007252178436524581
exRNA000056	0.006158581430489457
exRNA000311	0.005125275125525673
exRNA000043	0.004654093127638714
exRNA000066	0.004507725917435739
exRNA000028	0.004421769954527003
exRNA000016	0.0034275641697249543
exRNA000036	0.003324722764559399
exRNA000089	0.0033057304009848913
exRNA000097	0.003210210994901916
exRNA000042	0.0019001156498535685
exRNA000172	0.0015091556732462956
exRNA000139	0.0014673367771124786
exRNA000035	0.0013277803170002685
exRNA000050	0.0009958264740157737
exRNA000173	0.00039021749065225265
exRNA000408	3.8959494500969934e-05
exRNA000561	8.74133678114644e-06
