fpr,tpr
0.0,0.0
0.0,0.01
0.0,0.08
0.00909090909090909,0.08
0.00909090909090909,0.19
0.02727272727272727,0.19
0.02727272727272727,0.2
0.03636363636363636,0.2
0.03636363636363636,0.25
0.045454545454545456,0.25
0.045454545454545456,0.29
0.05454545454545454,0.29
0.05454545454545454,0.34
0.06363636363636363,0.34
0.06363636363636363,0.38
0.08181818181818182,0.38
0.08181818181818182,0.4
0.09090909090909091,0.4
0.09090909090909091,0.42
0.1,0.42
0.1,0.46
0.10909090909090909,0.46
0.10909090909090909,0.5
0.11818181818181818,0.5
0.11818181818181818,0.52
0.12727272727272726,0.52
0.12727272727272726,0.54
0.14545454545454545,0.54
0.14545454545454545,0.55
0.15454545454545454,0.55
0.15454545454545454,0.56
0.19090909090909092,0.56
0.19090909090909092,0.58
0.2,0.58
0.2,0.59
0.20909090909090908,0.59
0.20909090909090908,0.62
0.21818181818181817,0.62
0.21818181818181817,0.65
0.2636363636363636,0.65
0.2636363636363636,0.67
0.2727272727272727,0.67
0.2727272727272727,0.72
0.2818181818181818,0.72
0.2818181818181818,0.74
0.2909090909090909,0.74
0.2909090909090909,0.76
0.3,0.76
0.3,0.78
0.33636363636363636,0.78
0.33636363636363636,0.8
0.34545454545454546,0.8
0.34545454545454546,0.81
0.35454545454545455,0.81
0.35454545454545455,0.82
0.36363636363636365,0.82
0.36363636363636365,0.83
0.39090909090909093,0.83
0.39090909090909093,0.84
0.4090909090909091,0.84
0.4090909090909091,0.85
0.5,0.85
0.5,0.87
0.509090909090909,0.87
0.509090909090909,0.88
0.6272727272727273,0.88
0.6272727272727273,0.89
0.6727272727272727,0.89
0.6727272727272727,0.9
0.6818181818181818,0.9
0.6818181818181818,0.91
0.6909090909090909,0.91
0.6909090909090909,0.92
0.7272727272727273,0.92
0.7272727272727273,0.93
0.7363636363636363,0.93
0.7363636363636363,0.94
0.7636363636363637,0.94
0.7636363636363637,0.95
0.7909090909090909,0.95
0.7909090909090909,0.96
0.8090909090909091,0.96
0.8090909090909091,0.98
0.9,0.98
0.9,0.99
0.9090909090909091,0.99
0.9090909090909091,1.0
1.0,1.0
