Seed,Modality,svm.C,xgb.subsample,xgb.learning_rate,xgb.n_estimators,xgb.max_depth,xgb.colsample_bytree,lr.l1_ratio,lr.C
10,CLN_MTB_PRT_MIR,0.0015973122800602556,1.0,0.3,100,3,0.9,0.2,0.02807216203941177
1,CLN_MTB_PRT_MIR_MET,0.0015973122800602556,0.6,0.1,5,1,0.6,0.1,0.006723357536499335
2,CLN_MTB_PRT_MIR_MET,0.003224590545296398,0.6,0.01,25,1,0.7,0.1,0.010826367338740546
3,CLN_MTB_PRT_MIR_MET,0.0022695105366946707,0.8,0.2,5,1,0.7,0.8,0.11721022975334805
4,CLN_MTB_PRT_MIR_MET,0.0015973122800602556,0.6,0.01,50,1,0.7,0.1,0.010826367338740546
5,CLN_MTB_PRT_MIR_MET,0.004581597669054491,0.6,0.1,10,1,0.6,0.30000000000000004,0.017433288221999882
6,CLN_MTB_PRT_MIR_MET,0.00650967523045817,1.0,0.01,50,1,0.7,0.2,0.017433288221999882
7,CLN_MTB_PRT_MIR_MET,0.0007912342618981327,0.7,0.3,100,3,1.0,0.9,0.11721022975334805
8,CLN_MTB_PRT_MIR_MET,0.0022695105366946707,0.8,0.2,10,1,0.8,0.8,0.11721022975334805
9,CLN_MTB_PRT_MIR_MET,0.0022695105366946707,0.8,0.01,25,1,0.7,0.1,0.010826367338740546
10,CLN_MTB_PRT_MIR_MET,0.0015973122800602556,0.7,0.3,100,3,1.0,0.2,0.02807216203941177
1,CLN_PRT,0.0022695105366946707,0.6,0.2,5,2,0.6,0.1,0.006723357536499335
2,CLN_PRT,0.0011242100350620874,0.7,0.2,10,2,0.8,0.1,0.0041753189365604
3,CLN_PRT,1e-06,1.0,0.01,5,2,0.6,1.0,0.11721022975334805
4,CLN_PRT,6.768750009458542e-05,0.8,0.1,10,2,0.6,0.1,0.010826367338740546
5,CLN_PRT,1.420830832533921e-06,0.6,0.01,10,1,0.6,0.2,0.010826367338740546
6,CLN_PRT,0.0022695105366946707,0.8,0.1,10,1,0.6,0.1,0.006723357536499335
7,CLN_PRT,1e-06,1.0,0.01,5,3,0.6,0.2,0.017433288221999882
8,CLN_PRT,1e-06,0.8,0.1,10,2,0.6,0.1,0.0041753189365604
9,CLN_PRT,2.868316813342009e-06,0.7,0.1,50,3,0.6,0.2,0.010826367338740546
10,CLN_PRT,1e-06,0.9,0.2,10,2,0.7,0.1,0.006723357536499335
1,CLN_PRT_MET,0.00019414919457438816,0.7,0.3,25,1,0.9,0.1,0.006723357536499335
2,CLN_PRT_MET,0.0011242100350620874,1.0,0.01,100,1,0.9,0.1,0.0041753189365604
3,CLN_PRT_MET,0.0011242100350620874,0.8,0.01,50,1,0.7,1.0,0.11721022975334805
4,CLN_PRT_MET,1e-06,0.7,0.2,10,1,0.6,0.1,0.006723357536499335
5,CLN_PRT_MET,1e-06,0.6,0.01,100,2,0.6,0.2,0.010826367338740546
6,CLN_PRT_MET,0.0022695105366946707,0.8,0.1,10,2,0.6,0.1,0.006723357536499335
7,CLN_PRT_MET,1e-06,0.7,0.1,5,3,0.8,0.2,0.017433288221999882
8,CLN_PRT_MET,1e-06,1.0,0.1,100,2,0.6,0.1,0.0041753189365604
9,CLN_PRT_MET,1e-06,0.9,0.1,25,1,0.8,0.2,0.010826367338740546
10,CLN_PRT_MET,2.018760254679039e-06,0.6,0.1,25,3,1.0,0.1,0.006723357536499335
1,CLN_PRT_MIR,0.0022695105366946707,0.7,0.1,100,3,1.0,0.1,0.006723357536499335
2,CLN_PRT_MIR,0.003224590545296398,1.0,0.3,5,1,0.7,0.1,0.010826367338740546
3,CLN_PRT_MIR,0.01314147362611758,0.6,0.01,50,1,0.7,0.1,0.0041753189365604
4,CLN_PRT_MIR,0.0022695105366946707,0.6,0.01,100,1,0.9,0.1,0.010826367338740546
5,CLN_PRT_MIR,0.0022695105366946707,0.9,0.2,10,2,0.7,0.4,0.02807216203941177
6,CLN_PRT_MIR,0.01314147362611758,0.6,0.01,100,1,1.0,0.1,0.006723357536499335
7,CLN_PRT_MIR,0.0022695105366946707,0.8,0.1,50,3,0.7,0.1,0.010826367338740546
8,CLN_PRT_MIR,0.018671810912919206,0.8,0.3,50,2,0.8,0.1,0.0041753189365604
9,CLN_PRT_MIR,1.420830832533921e-06,0.7,0.01,100,1,0.8,0.1,0.0041753189365604
10,CLN_PRT_MIR,0.0007912342618981327,0.6,0.3,50,2,0.9,0.1,0.010826367338740546
1,CLN_PRT_MIR_MET,0.0022695105366946707,1.0,0.01,25,1,0.6,0.1,0.006723357536499335
2,CLN_PRT_MIR_MET,0.003224590545296398,1.0,0.01,100,1,0.9,0.1,0.010826367338740546
3,CLN_PRT_MIR_MET,0.0022695105366946707,1.0,0.01,25,1,0.6,0.1,0.0041753189365604
4,CLN_PRT_MIR_MET,0.0015973122800602556,0.6,0.01,100,1,0.9,0.1,0.010826367338740546
5,CLN_PRT_MIR_MET,0.003224590545296398,0.6,0.01,10,1,0.6,0.4,0.02807216203941177
6,CLN_PRT_MIR_MET,0.0022695105366946707,1.0,0.01,25,1,0.6,0.1,0.006723357536499335
7,CLN_PRT_MIR_MET,0.0015973122800602556,0.8,0.2,25,1,1.0,0.1,0.010826367338740546
8,CLN_PRT_MIR_MET,0.026529484644319,0.8,0.1,100,2,0.8,0.1,0.0041753189365604
9,CLN_PRT_MIR_MET,1.420830832533921e-06,0.6,0.01,50,3,0.8,0.1,0.0041753189365604
10,CLN_PRT_MIR_MET,4.075392965871778e-06,0.9,0.2,50,2,0.8,0.1,0.010826367338740546
1,MET,20.991037201085547,0.6,0.3,50,3,0.7,0.1,0.001
2,MET,10.397984184814922,1.0,0.01,25,3,1.0,0.1,0.001
3,MET,3.6251170499885355,0.6,0.3,10,3,0.7,0.1,0.001
4,MET,29.82471286216894,0.7,0.3,100,1,0.7,0.1,0.001
5,MET,348.63652276780874,0.6,0.1,5,3,0.7,0.1,0.001
6,MET,3.6251170499885355,0.6,0.3,100,2,0.6,0.1,0.7880462815669912
7,MET,10.397984184814922,0.7,0.3,25,3,0.9,0.2,1.2689610031679222
8,MET,348.63652276780874,0.6,0.3,50,1,0.9,0.1,0.001
9,MET,2.5514065200312928,0.6,0.3,50,3,1.0,0.9,22.122162910704503
10,MET,14.773776525985127,0.7,0.1,10,1,0.9,0.1,0.010826367338740546
1,MIR,0.01314147362611758,0.6,0.1,100,1,0.8,1.0,0.18873918221350977
2,MIR,0.018671810912919206,0.7,0.3,50,1,1.0,0.30000000000000004,0.02807216203941177
3,MIR,0.037693909753883634,0.7,0.2,5,3,0.9,0.9,0.0727895384398315
4,MIR,0.026529484644319,0.6,0.3,100,1,0.6,0.9,0.3039195382313198
5,MIR,1e-06,0.8,0.3,25,3,1.0,0.2,0.04520353656360243
6,MIR,2.018760254679039e-06,0.7,0.3,5,2,1.0,0.6,0.18873918221350977
7,MIR,1e-06,0.7,0.3,50,1,1.0,0.30000000000000004,0.04520353656360243
8,MIR,0.009249147277217335,0.8,0.3,50,1,0.8,0.8,0.11721022975334805
9,MIR,2.018760254679039e-06,0.8,0.1,100,1,0.9,0.30000000000000004,0.18873918221350977
10,MIR,2.018760254679039e-06,0.9,0.2,10,1,0.7,0.9,0.18873918221350977
1,MTB,0.026529484644319,0.6,0.01,10,2,0.7,0.1,0.0041753189365604
2,MTB,0.037693909753883634,0.6,0.01,10,1,0.6,0.8,0.18873918221350977
3,MTB,0.053556669177069076,0.6,0.3,5,3,0.7,0.6,0.18873918221350977
4,MTB,0.037693909753883634,0.8,0.01,10,1,0.9,0.1,0.0041753189365604
5,MTB,0.053556669177069076,0.7,0.1,10,3,0.7,0.2,0.006723357536499335
6,MTB,0.31011689265747816,0.8,0.01,25,1,0.7,0.1,0.0041753189365604
7,MTB,0.037693909753883634,0.8,0.01,10,3,0.8,0.8,0.18873918221350977
8,MTB,0.037693909753883634,0.6,0.01,25,2,1.0,1.0,0.3039195382313198
9,MTB,0.003224590545296398,0.6,0.1,25,1,0.6,0.8,0.3039195382313198
10,MTB,1.420830832533921e-06,0.7,0.1,10,3,0.7,0.4,0.11721022975334805
1,PRT,1.1689518164985777e-05,1.0,0.2,5,1,0.9,0.7000000000000001,0.18873918221350977
2,PRT,0.026529484644319,0.9,0.3,25,2,0.8,0.6,0.4893900918477494
3,PRT,1e-06,1.0,0.01,10,2,1.0,1.0,0.3039195382313198
4,PRT,1e-06,0.7,0.1,100,2,1.0,0.1,0.010826367338740546
5,PRT,2.018760254679039e-06,0.9,0.1,5,2,0.8,0.1,0.02807216203941177
6,PRT,0.00650967523045817,0.7,0.1,5,3,0.7,0.1,0.02807216203941177
7,PRT,2.868316813342009e-06,0.7,0.3,5,1,0.9,0.1,0.006723357536499335
8,PRT,2.868316813342009e-06,0.8,0.2,5,1,1.0,0.30000000000000004,0.04520353656360243
9,PRT,1.420830832533921e-06,0.6,0.1,25,3,0.7,0.5,0.11721022975334805
10,PRT,0.004581597669054491,0.9,0.1,5,2,0.8,0.1,0.017433288221999882
