fpr,tpr
0.0,0.0
0.11818181818181818,0.31
0.12727272727272726,0.32
0.18181818181818182,0.44
0.18181818181818182,0.46
0.18181818181818182,0.49
0.19090909090909092,0.49
0.19090909090909092,0.51
0.20909090909090908,0.53
0.23636363636363636,0.53
0.3090909090909091,0.69
0.3181818181818182,0.69
0.37272727272727274,0.71
0.38181818181818183,0.71
0.39090909090909093,0.72
0.4,0.74
0.4909090909090909,0.76
0.4909090909090909,0.77
0.509090909090909,0.78
0.5181818181818182,0.79
0.5363636363636364,0.8
0.5454545454545454,0.85
0.5727272727272728,0.88
0.6363636363636364,0.88
0.6545454545454545,0.89
0.6727272727272727,0.91
0.6909090909090909,0.94
0.7,0.94
0.7727272727272727,0.94
0.8181818181818182,0.95
0.8363636363636363,0.97
0.9272727272727272,0.99
1.0,1.0
