fpr,tpr
0.0,0.0
0.0,0.01
0.0,0.04
0.00909090909090909,0.04
0.00909090909090909,0.12
0.01818181818181818,0.12
0.01818181818181818,0.16
0.02727272727272727,0.16
0.02727272727272727,0.2
0.045454545454545456,0.2
0.045454545454545456,0.21
0.1,0.21
0.1,0.22
0.11818181818181818,0.22
0.11818181818181818,0.24
0.14545454545454545,0.24
0.14545454545454545,0.25
0.15454545454545454,0.25
0.15454545454545454,0.26
0.16363636363636364,0.26
0.16363636363636364,0.27
0.2,0.27
0.2,0.29
0.20909090909090908,0.29
0.20909090909090908,0.33
0.22727272727272727,0.33
0.22727272727272727,0.34
0.24545454545454545,0.34
0.24545454545454545,0.37
0.2545454545454545,0.37
0.2545454545454545,0.4
0.2818181818181818,0.4
0.2818181818181818,0.43
0.2909090909090909,0.43
0.2909090909090909,0.47
0.3,0.47
0.3,0.52
0.3181818181818182,0.52
0.3181818181818182,0.55
0.32727272727272727,0.55
0.32727272727272727,0.59
0.33636363636363636,0.59
0.33636363636363636,0.62
0.34545454545454546,0.62
0.34545454545454546,0.63
0.37272727272727274,0.63
0.37272727272727274,0.65
0.43636363636363634,0.65
0.43636363636363634,0.66
0.4636363636363636,0.66
0.4636363636363636,0.67
0.4818181818181818,0.67
0.4818181818181818,0.69
0.4909090909090909,0.69
0.4909090909090909,0.7
0.5363636363636364,0.7
0.5363636363636364,0.71
0.5636363636363636,0.71
0.5636363636363636,0.72
0.5818181818181818,0.72
0.5818181818181818,0.77
0.5909090909090909,0.77
0.5909090909090909,0.78
0.6,0.78
0.6,0.79
0.6090909090909091,0.79
0.6090909090909091,0.8
0.6181818181818182,0.8
0.6181818181818182,0.81
0.6272727272727273,0.81
0.6272727272727273,0.82
0.6363636363636364,0.82
0.6363636363636364,0.83
0.6545454545454545,0.83
0.6545454545454545,0.84
0.6909090909090909,0.84
0.6909090909090909,0.85
0.7,0.85
0.7,0.87
0.7090909090909091,0.87
0.7090909090909091,0.88
0.7272727272727273,0.88
0.7272727272727273,0.89
0.7363636363636363,0.89
0.7363636363636363,0.9
0.8272727272727273,0.9
0.8272727272727273,0.91
0.8363636363636363,0.91
0.8363636363636363,0.92
0.8454545454545455,0.92
0.8454545454545455,0.94
0.8636363636363636,0.94
0.8636363636363636,0.96
0.8818181818181818,0.96
0.8818181818181818,0.98
0.9090909090909091,0.98
0.9090909090909091,0.99
0.9545454545454546,0.99
0.9545454545454546,1.0
1.0,1.0
